match_number,winner,team1,team2,toss_winner,toss_decision,venue,city,team1_win_pct,team2_win_pct,team1_h2h_win_pct,team1_prev_score,team1_prev_wkts,team2_prev_score,team2_prev_wkts,team1_avg_recent_bat_sr,team1_avg_recent_bowl_econ,team2_avg_recent_bat_sr,team2_avg_recent_bowl_econ
1216542,Sunrisers Hyderabad,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,bat,Dubai International Cricket Stadium,Unknown,0.5315315315315315,0.4550561797752809,0.7142857142857143,164,5,143,8,135.9876475129591,7.954857703631011,133.99446149240327,8.178152643488994
1216500,Delhi Capitals,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,Sharjah Cricket Stadium,Unknown,0.4463276836158192,0.5102040816326531,0.45,228,4,154,6,134.61752899197145,7.694707520891365,136.5941562620672,8.110010764262649
1216523,Kolkata Knight Riders,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,bat,Sheikh Zayed Stadium,Abu Dhabi,0.5277777777777778,0.45251396648044695,0.68,210,8,178,4,134.18629401693582,7.935125850564841,135.64811270193707,8.03883495145631
1216525,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,bat,Dubai International Cricket Stadium,Unknown,0.4748603351955307,0.6035502958579881,0.34782608695652173,158,2,181,0,134.6494628419537,7.685003214252916,134.18629401693582,7.935125850564841
1216507,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,Dubai International Cricket Stadium,Unknown,0.5357142857142857,0.5067567567567568,0.5454545454545454,174,7,136,10,135.62703891965708,8.034343107079216,132.51542545558902,7.662932294203605
1216529,Mumbai Indians,Delhi Capitals,Mumbai Indians,Delhi Capitals,bat,Sheikh Zayed Stadium,Abu Dhabi,0.449438202247191,0.5842105263157895,0.5,196,4,208,5,132.51542545558902,7.662932294203605,136.3984919164164,8.102624279923193
1216540,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru,bat,Sharjah Cricket Stadium,Unknown,0.4777777777777778,0.5303867403314917,0.4166666666666667,137,9,167,10,134.39520648331754,8.035714285714286,138.2376143893973,8.080961086445548
1216528,Chennai Super Kings,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,bat,Dubai International Cricket Stadium,Unknown,0.6,0.5309734513274337,0.6923076923076923,157,5,201,6,134.49118744371543,8.015297375708823,133.40423085766844,7.8919925512104285
1216543,Delhi Capitals,Delhi Capitals,Rajasthan Royals,Delhi Capitals,bat,Dubai International Cricket Stadium,Unknown,0.44692737430167595,0.5100671140939598,0.47619047619047616,184,8,138,10,131.57400450788882,7.784696494727842,133.30477985266404,7.898417372101583
1216531,Punjab Kings,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,bat,Sharjah Cricket Stadium,Unknown,0.48066298342541436,0.45,0.48,169,4,132,10,137.23125647116146,8.263944870628007,137.8363579474343,8.104397017228079
